time,max_speed_quintile,HR
0,1,112
0,2,104
0,3,99
0,4,95
0,5,91
1,1,113
1,2,104
1,3,99
1,4,95
1,5,91
2,1,113
2,2,105
2,3,100
2,4,96
2,5,92
3,1,113
3,2,105
3,3,100
3,4,96
3,5,92
4,1,114
4,2,105
4,3,100
4,4,96
4,5,92
5,1,114
5,2,105
5,3,101
5,4,96
5,5,92
6,1,114
6,2,106
6,3,101
6,4,97
6,5,93
7,1,114
7,2,106
7,3,101
7,4,97
7,5,93
8,1,115
8,2,106
8,3,101
8,4,97
8,5,93
9,1,115
9,2,107
9,3,102
9,4,97
9,5,94
10,1,115
10,2,107
10,3,102
10,4,98
10,5,94
11,1,115
11,2,107
11,3,102
11,4,98
11,5,94
12,1,116
12,2,108
12,3,103
12,4,98
12,5,94
13,1,116
13,2,108
13,3,103
13,4,98
13,5,95
14,1,116
14,2,108
14,3,104
14,4,99
14,5,95
15,1,116
15,2,109
15,3,104
15,4,99
15,5,95
16,1,117
16,2,109
16,3,104
16,4,99
16,5,95
17,1,117
17,2,109
17,3,104
17,4,99
17,5,96
18,1,117
18,2,109
18,3,105
18,4,100
18,5,96
19,1,117
19,2,110
19,3,105
19,4,100
19,5,96
20,1,117
20,2,110
20,3,105
20,4,100
20,5,96
21,1,118
21,2,110
21,3,105
21,4,100
21,5,97
22,1,118
22,2,110
22,3,105
22,4,100
22,5,97
23,1,118
23,2,110
23,3,106
23,4,101
23,5,97
24,1,118
24,2,111
24,3,106
24,4,101
24,5,97
25,1,118
25,2,111
25,3,106
25,4,101
25,5,97
26,1,118
26,2,111
26,3,106
26,4,101
26,5,97
27,1,119
27,2,111
27,3,106
27,4,101
27,5,98
28,1,119
28,2,111
28,3,106
28,4,101
28,5,98
29,1,119
29,2,111
29,3,107
29,4,101
29,5,98
30,1,119
30,2,111
30,3,107
30,4,101
30,5,98
31,1,119
31,2,111
31,3,107
31,4,102
31,5,98
32,1,119
32,2,112
32,3,107
32,4,102
32,5,98
33,1,119
33,2,112
33,3,107
33,4,102
33,5,98
34,1,119
34,2,112
34,3,107
34,4,102
34,5,98
35,1,120
35,2,112
35,3,107
35,4,102
35,5,98
36,1,120
36,2,112
36,3,107
36,4,102
36,5,98
37,1,120
37,2,112
37,3,107
37,4,102
37,5,99
38,1,120
38,2,112
38,3,108
38,4,102
38,5,99
39,1,120
39,2,112
39,3,108
39,4,102
39,5,99
40,1,120
40,2,112
40,3,108
40,4,102
40,5,99
41,1,120
41,2,112
41,3,108
41,4,102
41,5,99
42,1,121
42,2,112
42,3,108
42,4,102
42,5,99
43,1,121
43,2,112
43,3,108
43,4,103
43,5,99
44,1,121
44,2,112
44,3,108
44,4,103
44,5,99
45,1,121
45,2,112
45,3,108
45,4,103
45,5,99
46,1,121
46,2,112
46,3,109
46,4,103
46,5,99
47,1,121
47,2,112
47,3,109
47,4,103
47,5,99
48,1,122
48,2,113
48,3,109
48,4,103
48,5,100
49,1,122
49,2,113
49,3,109
49,4,103
49,5,100
50,1,122
50,2,113
50,3,109
50,4,103
50,5,100
51,1,122
51,2,113
51,3,109
51,4,103
51,5,100
52,1,122
52,2,113
52,3,109
52,4,103
52,5,100
53,1,123
53,2,113
53,3,109
53,4,103
53,5,100
54,1,123
54,2,113
54,3,110
54,4,103
54,5,100
55,1,123
55,2,113
55,3,110
55,4,103
55,5,100
56,1,123
56,2,113
56,3,110
56,4,103
56,5,100
57,1,123
57,2,113
57,3,110
57,4,104
57,5,101
58,1,124
58,2,114
58,3,110
58,4,104
58,5,101
59,1,124
59,2,114
