time,speed,remaining,pace
0,5.0,974,19:19
1,5.017,974,19:15
2,5.033,974,19:11
3,5.05,974,19:07
4,5.067,974,19:03
5,5.083,974,19:00
6,5.1,974,18:56
7,5.117,974,18:52
8,5.133,974,18:49
9,5.15,974,18:45
10,5.167,974,18:41
11,5.183,974,18:38
12,5.2,974,18:34
13,5.217,974,18:31
14,5.233,974,18:27
15,5.25,974,18:24
16,5.267,974,18:20
17,5.283,974,18:17
18,5.3,974,18:13
19,5.317,974,18:10
20,5.333,974,18:06
21,5.35,974,18:03
22,5.367,974,18:00
23,5.383,974,17:56
24,5.4,974,17:53
25,5.417,974,17:50
26,5.433,974,17:46
27,5.45,974,17:43
28,5.467,974,17:40
29,5.483,974,17:37
30,5.5,974,17:33
31,5.517,974,17:30
32,5.533,974,17:27
33,5.55,974,17:24
34,5.567,974,17:21
35,5.583,974,17:18
36,5.6,974,17:15
37,5.617,974,17:12
38,5.633,974,17:08
39,5.65,974,17:05
40,5.667,974,17:02
41,5.683,974,16:59
42,5.7,974,16:56
43,5.717,974,16:53
44,5.733,974,16:51
45,5.75,974,16:48
46,5.767,974,16:45
47,5.783,974,16:42
48,5.8,974,16:39
49,5.817,974,16:36
50,5.833,974,16:33
51,5.85,974,16:30
52,5.867,974,16:28
53,5.883,974,16:25
54,5.9,974,16:22
55,5.917,974,16:19
56,5.933,974,16:16
57,5.95,974,16:14
58,5.967,974,16:11
59,5.983,974,16:08
60,6.0,974,16:06
61,6.017,974,16:03
62,6.033,974,16:00
63,6.05,974,15:58
64,6.067,974,15:55
65,6.083,974,15:52
66,6.1,974,15:50
67,6.117,974,15:47
68,6.133,974,15:45
69,6.15,974,15:42
70,6.167,974,15:40
71,6.183,974,15:37
72,6.2,974,15:34
73,6.217,974,15:32
74,6.233,974,15:29
75,6.25,974,15:27
76,6.267,974,15:25
77,6.283,974,15:22
78,6.3,974,15:20
79,6.317,974,15:17
80,6.333,974,15:15
81,6.35,974,15:12
82,6.367,974,15:10
83,6.383,974,15:08
