time,max_speed_quintile,RR
0,1,24
0,2,23
0,3,22
0,4,22
0,5,22
1,1,24
1,2,23
1,3,22
1,4,22
1,5,22
2,1,25
2,2,23
2,3,22
2,4,22
2,5,22
3,1,25
3,2,24
3,3,23
3,4,22
3,5,22
4,1,25
4,2,24
4,3,23
4,4,22
4,5,22
5,1,25
5,2,24
5,3,23
5,4,22
5,5,22
6,1,25
6,2,24
6,3,23
6,4,22
6,5,23
7,1,25
7,2,24
7,3,23
7,4,22
7,5,23
8,1,25
8,2,24
8,3,23
8,4,22
8,5,23
9,1,25
9,2,24
9,3,23
9,4,22
9,5,23
10,1,25
10,2,24
10,3,23
10,4,22
10,5,23
11,1,25
11,2,24
11,3,23
11,4,22
11,5,23
12,1,25
12,2,24
12,3,23
12,4,22
12,5,23
13,1,25
13,2,24
13,3,23
13,4,22
13,5,23
14,1,25
14,2,24
14,3,23
14,4,23
14,5,23
15,1,25
15,2,24
15,3,23
15,4,23
15,5,23
16,1,25
16,2,24
16,3,23
16,4,23
16,5,23
17,1,25
17,2,24
17,3,23
17,4,23
17,5,23
18,1,25
18,2,24
18,3,23
18,4,22
18,5,23
19,1,25
19,2,24
19,3,23
19,4,22
19,5,23
20,1,25
20,2,24
20,3,23
20,4,22
20,5,23
21,1,25
21,2,24
21,3,23
21,4,22
21,5,23
22,1,25
22,2,24
22,3,23
22,4,22
22,5,23
23,1,25
23,2,24
23,3,23
23,4,23
23,5,23
24,1,24
24,2,24
24,3,23
24,4,23
24,5,23
25,1,24
25,2,24
25,3,23
25,4,23
25,5,23
26,1,24
26,2,24
26,3,23
26,4,23
26,5,23
27,1,24
27,2,24
27,3,23
27,4,23
27,5,23
28,1,24
28,2,24
28,3,23
28,4,23
28,5,23
29,1,24
29,2,24
29,3,23
29,4,23
29,5,23
30,1,24
30,2,24
30,3,23
30,4,23
30,5,23
31,1,24
31,2,24
31,3,23
31,4,23
31,5,23
32,1,24
32,2,24
32,3,23
32,4,23
32,5,23
33,1,24
33,2,24
33,3,23
33,4,23
33,5,23
34,1,25
34,2,24
34,3,23
34,4,23
34,5,23
35,1,25
35,2,24
35,3,23
35,4,23
35,5,23
36,1,25
36,2,24
36,3,23
36,4,23
36,5,23
37,1,25
37,2,24
37,3,23
37,4,23
37,5,23
38,1,25
38,2,24
38,3,23
38,4,23
38,5,23
39,1,25
39,2,24
39,3,23
39,4,23
39,5,23
40,1,25
40,2,24
40,3,23
40,4,23
40,5,23
41,1,25
41,2,24
41,3,23
41,4,23
41,5,23
42,1,25
42,2,24
42,3,23
42,4,23
42,5,23
43,1,25
43,2,24
43,3,23
43,4,23
43,5,23
44,1,25
44,2,24
44,3,23
44,4,23
44,5,23
45,1,25
45,2,24
45,3,23
45,4,23
45,5,23
46,1,26
46,2,24
46,3,23
46,4,23
46,5,23
47,1,26
47,2,24
47,3,23
47,4,23
47,5,23
48,1,26
48,2,24
48,3,23
48,4,23
48,5,23
49,1,26
49,2,24
49,3,24
49,4,23
49,5,23
50,1,26
50,2,24
50,3,24
50,4,23
50,5,23
51,1,26
51,2,24
51,3,23
51,4,23
51,5,23
52,1,26
52,2,24
52,3,24
52,4,23
52,5,23
53,1,26
53,2,24
53,3,24
53,4,23
53,5,23
54,1,25
54,2,24
54,3,24
54,4,23
54,5,23
55,1,25
55,2,25
55,3,24
